CRED HRS,LOAD,"Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201490,HM,1,ART,ART,346,15123,Portraiture,1500,1650,MW,MMVA,207,A,James Miles,3,3,21,10,,
201490,HM,1,ART,ART,356,15993,Web Design,1400,1545,WF,RUPP,229,G,Art Adjunct,4,4,19,1,,
201490,HM,1,ART,ART,356,16023,Web Design,1100,1250,MF,MMVA,207,G,Curtis Ellis,4,4,21,14,,
201490,HM,1,ART,ART,357,14744,Design History,1100,1250,MF,MMVA,206,G,Jonathan Bouw,3,3,20,7,,
201490,HM,1,ART,ART,380,15726,Ceramics: Wheelthrowing,800,950,MW,MMVA,108,G,Joshua Welker,3,3,18,1,,
201490,HM,1,ART,ART,393,16527,Practicum,,,,,,P,Jonathan Bouw,1,1,2,0,YES,YES
201490,HM,1,ART,ART,417,16088,Advanced Ceramics,1230,1350,TR,MMVA,108,G,Art Adjunct,3,3,16,10,,
201490,HM,1,ART,ART,420,16364,Advanced Screen Printing,800,950,TR,MMVA,202,G,Joshua Welker,3,3,15,15,YES,
201490,HM,1,ART,ART,444,16365,Advanced Lithography,1800,2130,M,MMVA,202,G,Suzanne Dittenber,3,3,15,15,YES,
201490,HM,1,ART,ART,456,16025,Web Animation,1800,2130,R,MMVA,207,A,Curtis Ellis,4,4,21,12,,
201490,HM,1,ART,ART,457,14732,Portfolio I,1300,1450,MF,MMVA,206,G,Jonathan Bouw,3,3,20,14,,
201490,HM,1,ART,ART,461,16363,Experimental Photography,1400,1550,TR,MMVA,207,G,James Miles,3,3,21,15,,
201490,HM,1,ART,ART,461,16363,Experimental Photography,1400,1550,TR,MMVA,8,G,James Miles,3,3,0,0,,
201490,HM,1,ART,ART,481,16086,Senior Thesis I/Miami,1600,1750,T,MMVA,202,G,Suzanne Dittenber,3,3,20,11,,
201490,HM,1,ART,HUM,250,16557,Latin Dance Participation Arts,,,,,,G,Art Adjunct,1,1,0,0,,
201490,HM,1,ART,HUM,250C,15152,P.A. Ceramics,1400,1515,W,MMVA,108,G,Susan Nace,1,1,12,0,,YES
201490,HM,1,ART,HUM,250C,15153,P.A. Ceramics,1100,1215,W,MMVA,108,G,Susan Nace,1,1,12,0,,YES
201490,HM,1,ART,HUM,250C,15154,P.A. Ceramics,1230,1345,W,MMVA,108,G,Susan Nace,1,1,12,0,,YES
201490,HM,1,ART,HUM,250D,13005,P.A. Drawing,1100,1150,T,MMVA,210,G,Debra Shepler,1,1,15,0,,YES
201490,HM,1,ART,HUM,250D,16026,P.A. Drawing,1100,1150,R,MMVA,210,G,Debra Shepler,1,1,15,0,,YES
201490,HM,1,ART,HUM,250E,16366,P.A. Enameling,1030,1120,T,MMVA,4,A,Kathryn Herrmann,1,1,15,4,,
201490,HM,1,ART,HUM,250E,16367,P.A. Enameling,930,1020,T,MMVA,4,A,Kathryn Herrmann,1,1,15,4,,
201490,HM,1,ART,HUM,250E,16368,P.A. Enameling,1300,1350,T,MMVA,4,A,Kathryn Herrmann,1,1,15,2,,
